역명코드,한글,한자,로마자,좌표
0108,석포,石浦,Seokpo,"[37.045963, 129.06029]"
0109,철암,鐵岩,Cheoram,"[37.112885, 129.03696]"
0111,도계,道溪,Dogye,"[37.229073, 129.04446]"
0112,옥계,玉溪,Okgye,"[37.61675, 129.05054]"
0113,동해,東海,Donghae,"[37.49798, 129.12276]"
0114,묵호,墨湖,Mukho,"[37.546055, 129.10823]"
0115,강릉,江陵,Gangneung,"[37.76376, 128.8991]"
0116,쌍룡,雙龍,Ssangnyong,"[37.174393, 128.32877]"
0117,영월,寧越,Yeongwol,"[37.182426, 128.48102]"
0118,석항,石項,Seokhang,"[37.19722, 128.62029]"
0119,예미,禮美,Yemi,"[37.212715, 128.65012]"
0120,민둥산,민둥山,Mindungsan,"[37.24563, 128.77284]"
0121,사북,舍北,Sabuk,"[37.22611, 128.81694]"
0122,고한,古汗,Gohan,"[37.20083, 128.85278]"
0123,태백,太白,Taebaek,"[37.17601, 128.98386]"
0124,문곡,文曲,Mungok,"[37.15165, 128.99017]"
0125,태화강,太和江,Taehwagang,"[35.53917, 129.35417]"
0126,좌천,佐川,Jwacheon,"[35.31194, 129.245]"
0127,신해운대,新海雲臺,Sinhaeundae,"[35.181675, 129.1771]"
0128,황간,黃澗,Hwanggan,"[36.22417, 127.91222]"
0129,한림정,翰林亭,Hallimjeong,"[35.321556, 128.80353]"
0132,능주,綾州,Neungju,"[34.98806, 126.95917]"
0133,추풍령,秋風嶺,Chupungnyeong,"[36.21333, 127.99583]"
0134,오근장,梧根場,Ogeunjang,"[36.7, 127.47833]"
0135,안양,安養,Anyang,"[37.40175, 126.92267]"
0136,횡천,橫川,Hoengcheon,"[35.09944, 127.80139]"
0137,남포,藍浦,Nampo,"[36.31556, 126.59444]"
0138,주덕,周德,Judeok,"[36.97333, 127.80222]"
0139,여천,麗川,Yeocheon,"[34.77944, 127.66722]"
0140,진해,鎭海,Jinhae,"[35.153416, 128.66013]"
0141,오산,烏山,Osan,"[37.14556, 127.06722]"
0142,소정리,小井里,Sojeong-ri,"[36.71861, 127.15556]"
0143,사상,沙上,Sasang,"[35.16251, 128.98894]"
0144,부산진,釜山鎭,Busanjin,"[35.128723, 129.04991]"
0145,광운대,光云大,Kwangwoon Univ.,"[37.62306, 127.06139]"
0146,퇴계원,退溪院,Toegyewon,"[37.64833, 127.14417]"
0147,마석,磨石,Maseok,"[37.65222, 127.31222]"
0148,대성리,大成里,Daeseong-ri,"[37.68444, 127.37944]"
0149,청평,淸平,Cheongpyeong,"[37.73528, 127.42639]"
0150,가평,加平,Gapyeong,"[37.82417, 127.51306]"
0151,강촌,江村,Gangchon,"[37.81639, 127.63167]"
0152,남춘천,南春川,Namchuncheon,"[37.86111, 127.72917]"
